0,4,0
0.01,4,0.099958
0.02,4,0.19967
0.03,4,0.29888
0.04,4,0.39734
0.05,4,0.49481
0.06,4,0.59104
0.07,4,0.6858
0.08,4,0.77884
0.09,4,0.86993
0.1,4,0.95885
0.11,4,1.0454
0.12,4,1.1293
0.13,4,1.2104
0.14,4,1.2884
0.15,4,1.3633
0.16,4,1.4347
0.17,4,1.5026
0.18,4,1.5667
0.19,4,1.6268
0.2,4,1.6829
0.21,4,1.7348
0.22,4,1.7824
0.23,4,1.8255
0.24,4,1.8641
0.25,4,1.898
0.26,4,1.9271
0.27,4,1.9514
0.28,4,1.9709
0.29,4,1.9854
0.3,4,1.995
0.31,4,1.9996
0.32,4,1.9991
0.33,4,1.9937
0.34,4,1.9833
0.35,4,1.968
0.36,4,1.9477
0.37,4,1.9226
0.38,4,1.8926
0.39,4,1.8579
0.4,4,1.8186
0.41,4,1.7747
0.42,4,1.7264
0.43,4,1.6738
0.44,4,1.617
0.45,4,1.5561
0.46,4,1.4914
0.47,4,1.4229
0.48,4,1.3509
0.49,4,1.2755
0.5,4,1.1969
0.51,4,1.1154
0.52,4,1.031
0.53,4,0.94406
0.54,4,0.85476
0.55,4,0.76332
0.56,4,0.66998
0.57,4,0.57496
0.58,4,0.4785
0.59,4,0.38085
0.6,4,0.28224
0.61,4,0.18293
0.62,4,0.083161
0.63,4,-0.016814
0.64,4,-0.11675
0.65,4,-0.21639
0.66,4,-0.31549
0.67,4,-0.4138
0.68,4,-0.51108
0.69,4,-0.60708
0.7,4,-0.70157
0.71,4,-0.7943
0.72,4,-0.88504
0.73,4,-0.97357
0.74,4,-1.0597
0.75,4,-1.1431
0.76,4,-1.2237
0.77,4,-1.3013
0.78,4,-1.3755
0.79,4,-1.4464
0.8,4,-1.5136
0.81,4,-1.5771
0.82,4,-1.6366
0.83,4,-1.692
0.84,4,-1.7432
0.85,4,-1.79
0.86,4,-1.8323
0.87,4,-1.8701
0.88,4,-1.9032
0.89,4,-1.9315
0.9,4,-1.9551
0.91,4,-1.9737
0.92,4,-1.9874
0.93,4,-1.9961
0.94,4,-1.9998
0.95,4,-1.9986
0.96,4,-1.9923
0.97,4,-1.9811
0.98,4,-1.9649
0.99,4,-1.9438
1,4,-1.9178
1.01,4,-1.8871
1.02,4,-1.8516
1.03,4,-1.8115
1.04,4,-1.7669
1.05,4,-1.7179
1.06,4,-1.6645
1.07,4,-1.607
1.08,4,-1.5455
1.09,4,-1.4802
1.1,4,-1.4111
1.11,4,-1.3385
1.12,4,-1.2625
1.13,4,-1.1834
1.14,4,-1.1014
1.15,4,-1.0166
1.16,4,-0.9292
1.17,4,-0.83953
1.18,4,-0.74775
1.19,4,-0.65411
1.2,4,-0.55883
1.21,4,-0.46216
